id;especialidade;medico;valor;resultado;resultado_content_type
1;Macio Internal Computador;madeira Fantástico;26914;../fake-data/blob/hipster.png;image/png
2;Centralized;invoice withdrawal;34277;../fake-data/blob/hipster.png;image/png
3;Fresco Interactions Central;Loan bypass;43576;../fake-data/blob/hipster.png;image/png
4;Investor;Uruguayo Networked Marginal;28399;../fake-data/blob/hipster.png;image/png
5;IB Queijo;invoice bleeding-edge;1690;../fake-data/blob/hipster.png;image/png
6;parse Sapatos;National;40177;../fake-data/blob/hipster.png;image/png
7;Bahia maximize;escarlate Avenida;26239;../fake-data/blob/hipster.png;image/png
8;engage;matrix Avenida Aço;99207;../fake-data/blob/hipster.png;image/png
9;Alameda FTP Branding;efficient Optimization;99773;../fake-data/blob/hipster.png;image/png
10;synthesizing Dollar utilisation;Borders;73930;../fake-data/blob/hipster.png;image/png
