id;nome;data_nascimento;especie;peso;foto;foto_content_type
1;Filmes vertical;2021-06-26;CACHORRO;54837;../fake-data/blob/hipster.png;image/png
2;Assistant Checking marinho;2021-06-27;CACHORRO;45180;../fake-data/blob/hipster.png;image/png
3;Agent Account Automotivo;2021-06-27;GATO;46411;../fake-data/blob/hipster.png;image/png
4;mobile content-based;2021-06-27;CACHORRO;34083;../fake-data/blob/hipster.png;image/png
5;Lindo;2021-06-27;GATO;57762;../fake-data/blob/hipster.png;image/png
6;Guarani Maranhão structure;2021-06-27;GATO;85946;../fake-data/blob/hipster.png;image/png
7;Sem Ergonômico cross-platform;2021-06-26;CACHORRO;50359;../fake-data/blob/hipster.png;image/png
8;multi-byte leading-edge Branding;2021-06-27;GATO;86746;../fake-data/blob/hipster.png;image/png
9;Licenciado;2021-06-27;GATO;59527;../fake-data/blob/hipster.png;image/png
10;Operations Rio;2021-06-27;GATO;36802;../fake-data/blob/hipster.png;image/png
